shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10075,33.867274,-118.257770,10001,0.000
10075,33.867266,-118.258083,10002,0.018
10075,33.867223,-118.259497,10003,0.099
10075,33.867213,-118.259892,10004,0.122
10075,33.867174,-118.261153,10005,0.195
10075,33.867170,-118.261311,10006,0.204
10075,33.867167,-118.261414,10007,0.210
10075,33.867167,-118.261414,20001,0.210
10075,33.867126,-118.262912,20002,0.296
10075,33.867115,-118.263348,20003,0.321
10075,33.867103,-118.263720,20004,0.342
10075,33.867067,-118.265188,20005,0.427
10075,33.867045,-118.266018,20006,0.474
10075,33.867039,-118.266121,20007,0.480
10075,33.867037,-118.266194,20008,0.485
10075,33.867036,-118.266266,20009,0.489
10075,33.866932,-118.266273,20010,0.496
10075,33.866704,-118.266281,20011,0.512
10075,33.866704,-118.266281,30001,0.512
10075,33.866618,-118.266284,30002,0.518
10075,33.866420,-118.266286,30003,0.531
10075,33.866061,-118.266289,30004,0.556
10075,33.865458,-118.266270,30005,0.598
10075,33.865253,-118.266264,30006,0.612
10075,33.865021,-118.266260,30007,0.628
10075,33.864640,-118.266254,30008,0.654
10075,33.864178,-118.266254,30009,0.686
10075,33.863850,-118.266254,30010,0.708
10075,33.863290,-118.266253,30011,0.747
10075,33.863136,-118.266254,30012,0.758
10075,33.863033,-118.266254,30013,0.765
10075,33.862833,-118.266254,30014,0.778
10075,33.862833,-118.266254,40001,0.778
10075,33.862784,-118.266254,40002,0.782
10075,33.862572,-118.266255,40003,0.796
10075,33.862486,-118.266255,40004,0.802
10075,33.862397,-118.266254,40005,0.809
10075,33.862352,-118.266254,40006,0.812
10075,33.862112,-118.266253,40007,0.828
10075,33.861892,-118.266253,40008,0.843
10075,33.861672,-118.266252,40009,0.858
10075,33.861441,-118.266253,40010,0.874
10075,33.861157,-118.266255,40011,0.894
10075,33.861058,-118.266255,40012,0.901
10075,33.860976,-118.266255,40013,0.906
10075,33.860522,-118.266253,40014,0.938
10075,33.860222,-118.266252,40015,0.958
10075,33.860215,-118.266252,40016,0.959
10075,33.859860,-118.266258,40017,0.983
10075,33.859363,-118.266258,40018,1.018
10075,33.859044,-118.266259,40019,1.040
10075,33.858933,-118.266259,40020,1.047
10075,33.858696,-118.266260,40021,1.064
10075,33.858659,-118.266260,40022,1.066
10075,33.858659,-118.266260,50001,1.066
10075,33.858393,-118.266258,50002,1.084
10075,33.858222,-118.266247,50003,1.096
10075,33.857853,-118.266213,50004,1.122
10075,33.856987,-118.266097,50005,1.182
10075,33.856921,-118.266088,50006,1.186
10075,33.856804,-118.266071,50007,1.195
10075,33.856746,-118.266062,50008,1.199
10075,33.856538,-118.266036,50009,1.213
10075,33.856356,-118.266012,50010,1.226
10075,33.856312,-118.266007,50011,1.229
10075,33.854140,-118.265727,50012,1.379
10075,33.853983,-118.265703,50013,1.390
10075,33.853568,-118.265655,50014,1.419
10075,33.853439,-118.265640,50015,1.428
10075,33.853439,-118.265640,60001,1.428
10075,33.853334,-118.265628,60002,1.435
10075,33.853065,-118.265594,60003,1.454
10075,33.852772,-118.265556,60004,1.474
10075,33.852192,-118.265484,60005,1.514
10075,33.851068,-118.265327,60006,1.592
10075,33.849940,-118.265183,60007,1.670
10075,33.849800,-118.265165,60008,1.680
10075,33.849535,-118.265133,60009,1.699
10075,33.849278,-118.265102,60010,1.716
10075,33.849054,-118.265078,60011,1.732
10075,33.848502,-118.265020,60012,1.770
10075,33.848215,-118.264985,60013,1.790
10075,33.847995,-118.264852,60014,1.807
10075,33.847956,-118.264833,60015,1.810
10075,33.847795,-118.264805,60016,1.821
10075,33.847683,-118.264789,60017,1.829
10075,33.847620,-118.264780,60018,1.833
10075,33.847577,-118.264776,60019,1.836
10075,33.847527,-118.264774,60020,1.840
10075,33.847474,-118.264769,60021,1.843
10075,33.847476,-118.264629,60022,1.851
10075,33.847480,-118.264307,60023,1.870
10075,33.847476,-118.263963,60024,1.890
10075,33.847464,-118.263709,60025,1.904
10075,33.847464,-118.263709,70001,1.904
10075,33.847453,-118.263462,70002,1.918
10075,33.847440,-118.263263,70003,1.930
10075,33.847433,-118.263147,70004,1.937
10075,33.847407,-118.262909,70005,1.950
10075,33.847373,-118.262645,70006,1.966
10075,33.847314,-118.262290,70007,1.987
10075,33.847240,-118.261982,70008,2.005
10075,33.847210,-118.261865,70009,2.012
10075,33.847158,-118.261631,70010,2.026
10075,33.847035,-118.261153,70011,2.055
10075,33.846985,-118.260962,70012,2.066
10075,33.846896,-118.260576,70013,2.089
10075,33.846833,-118.260179,70014,2.113
10075,33.846790,-118.259827,70015,2.133
10075,33.846767,-118.259630,70016,2.144
10075,33.846752,-118.259421,70017,2.156
10075,33.846744,-118.259198,70018,2.169
10075,33.846727,-118.258752,70019,2.195
10075,33.846723,-118.258492,70020,2.210
10075,33.846723,-118.258492,80001,2.210
10075,33.846719,-118.258271,80002,2.223
10075,33.846678,-118.256600,80003,2.319
10075,33.846652,-118.255253,80004,2.396
10075,33.846647,-118.254987,80005,2.412
10075,33.846646,-118.254651,80006,2.431
10075,33.846654,-118.254408,80007,2.445
10075,33.846658,-118.254251,80008,2.454
10075,33.846670,-118.254044,80009,2.466
10075,33.846677,-118.253935,80010,2.472
10075,33.846706,-118.253473,80011,2.499
10075,33.846717,-118.253215,80012,2.514
10075,33.846717,-118.253215,90001,2.514
10075,33.846722,-118.253107,90002,2.520
10075,33.846735,-118.252318,90003,2.565
10075,33.846738,-118.251376,90004,2.619
10075,33.846739,-118.249969,90005,2.700
10075,33.846735,-118.249382,90006,2.734
10075,33.846730,-118.248599,90007,2.779
10075,33.846731,-118.248522,90008,2.784
10075,33.846730,-118.248453,90009,2.788
10075,33.846731,-118.248261,90010,2.799
10075,33.846731,-118.248261,100001,2.799
10075,33.846731,-118.248014,100002,2.813
10075,33.846731,-118.247958,100003,2.816
10075,33.846724,-118.244113,100004,3.037
10075,33.846723,-118.243705,100005,3.061
10075,33.846723,-118.243470,100006,3.074
10075,33.846723,-118.243470,110001,3.074
10075,33.846727,-118.239145,110002,3.323
10075,33.846727,-118.238676,110003,3.350
10075,33.846727,-118.238422,110004,3.364
